connectTo,technology,cost,newStress,improvement,roi
5,ethernet,50.0,7.764593601226807,3.337860107421875e-05,0.000667572021484375
105,ethernet,50.0,7.764596939086914,3.0040740966796875e-05,0.0006008148193359375
5,wireless,90.0,7.764593601226807,3.337860107421875e-05,0.00037087334526909725
105,wireless,90.0,7.764596939086914,3.0040740966796875e-05,0.0003337860107421875
26,ethernet,50.0,7.764610767364502,1.621246337890625e-05,0.000324249267578125
26,wireless,90.0,7.764610767364502,1.621246337890625e-05,0.00018013848198784722
18,ethernet,50.0,7.764622211456299,4.76837158203125e-06,9.5367431640625e-05
5,fiber,500.0,7.764593601226807,3.337860107421875e-05,6.67572021484375e-05
105,fiber,500.0,7.764596939086914,3.0040740966796875e-05,6.008148193359375e-05
18,wireless,90.0,7.764622211456299,4.76837158203125e-06,5.298190646701389e-05
186,ethernet,50.0,7.76462459564209,2.384185791015625e-06,4.76837158203125e-05
234,ethernet,50.0,7.76462459564209,2.384185791015625e-06,4.76837158203125e-05
16,ethernet,50.0,7.764625072479248,1.9073486328125e-06,3.814697265625e-05
26,fiber,500.0,7.764610767364502,1.621246337890625e-05,3.24249267578125e-05
186,wireless,90.0,7.76462459564209,2.384185791015625e-06,2.6490953233506945e-05
234,wireless,90.0,7.76462459564209,2.384185791015625e-06,2.6490953233506945e-05
16,wireless,90.0,7.764625072479248,1.9073486328125e-06,2.1192762586805555e-05
18,fiber,500.0,7.764622211456299,4.76837158203125e-06,9.5367431640625e-06
338,ethernet,50.0,7.764626502990723,4.76837158203125e-07,9.5367431640625e-06
338,wireless,90.0,7.764626502990723,4.76837158203125e-07,5.298190646701389e-06
186,fiber,500.0,7.76462459564209,2.384185791015625e-06,4.76837158203125e-06
234,fiber,500.0,7.76462459564209,2.384185791015625e-06,4.76837158203125e-06
16,fiber,500.0,7.764625072479248,1.9073486328125e-06,3.814697265625e-06
338,fiber,500.0,7.764626502990723,4.76837158203125e-07,9.5367431640625e-07
454,fiber,500.0,7.764626979827881,0.0,0.0
454,ethernet,50.0,7.764626979827881,0.0,0.0
454,wireless,90.0,7.764626979827881,0.0,0.0
74,fiber,500.0,7.764628887176514,-1.9073486328125e-06,-3.814697265625e-06
74,wireless,90.0,7.764628887176514,-1.9073486328125e-06,-2.1192762586805555e-05
74,ethernet,50.0,7.764628887176514,-1.9073486328125e-06,-3.814697265625e-05
